('B2F171420', '另眼看世界--光谱成像漫谈', 'Spectral Imaging: Another way to look at the world', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98D85D36AB6638C8E0506F0A20036B33', '17', '1.0')
('B2G010220', '柔性电子材料与器件', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97EA0CE3ACAEF18EE0506F0A20037E59', '01', '2.0')
('B2G010170', '材料与社会', 'Materials in Context：Applying Materials to Society ', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G010170', '01', '1.0')
('B2E332040', '体育（4）', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2E332040', '33', '0.5')
('B2G170660', '生活韩国语', '生活韩国语', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B0463524B96FC6B8E050007F01006FFA', '17', '2.0')
('B2G140120', '面向工业4.0的创新创业学习与实践', 'Learning and Practice of Innovation and Entrepreneurship for Industry 4.0', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9673DFA67B7EDF78E0506F0A200359BA', '14', '2.0')
('B2G280310', '政治哲学经典问题', 'Classical Issues in Political Philosophy', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=770925018cb34e249aae8ea0e6edc46d', '28', '1.0')
('B2F290260', '意大利文艺复兴', 'Italian Renaissance', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290260', '29', '2.0')
('50G40220', '大学生治学方法', 'Academic Methods of Students', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40220', '50', '1.5')
('B2G170531', 'Biomedical Photonics', 'Biomedical Photonics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97D56466A1F712FBE0506F0A20033443', '17', '2.0')
('B2F120120', '英国社会与文化 （英语授课）', 'British Society and Culture', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F120120', '12', '2.0')
('B2G120451', '英语语音与发声 ', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B3FCB14D216F72CBE050007F0100750D', '12', '2.0')
('B2F030180', '电气工程学科回顾与展望', 'Review and Prospect of the Disciplineof Electrical Engineerin', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030180', '03', '1.0')
('B2G060360', '操作系统介绍及编程基础', 'Introduction to Operating System', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A6B73FEAEDB95F7DE050007F01006FEA', '06', '2.0')
('B2F171240', '空天探测导论', 'KTTCDL', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B7803BD0032D6FE0506F0A20035507', '17', '1.0')
('50G40340', 'GPS与北斗卫星导航系统概论', 'GPS与北斗卫星导航系统概论', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BB6EB490DDFAE9B0E050007F0100032C', '50', '1.0')
('B2F171130', '激光雷达--从探测到成像', 'LiDAR: From Detection to Imaging', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=95C8E92828AD2DBEE0506F0A20033606', '17', '1.0')
('B2F110240', '动作语言分析与训练', 'Analysis and Practice of Action language', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97234ABE9BB6ECADE0506F0A20033F02', '11', '2.0')
('B2F030140', '自动化检测前沿与实践', 'Automation Detection Frontier and Practice', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F030140', '03', '1.0')
('B2G140180', '大数据、人工智能与系统健康管理', 'Big data, artificial intelligence, and system health management', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G140180', '14', '2.0')
('B2F140180', '上帝掷骰子吗？漫谈网络可靠性分析与预测', 'Does God Roll the Dice?—A random talk on analysis and prediction of network reliability', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98DBB24E2939BC52E0506F0A20032ADD', '14', '1.0')
('B2F171140', '感知与重构三维世界', 'Sensing and Reconstructing 3D World', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99AD8DA677C029FAE0506F0A2003706A', '17', '1.0')
('50G12490', '英国社会与文化', 'British Society and Culture', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12490', '50', '1.5')
('B2E333050', '体育（5）', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2E333050', '33', '0.5')
('B2G070290', '创意创新创业', 'Creative innovation and entrepreneurship', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G070290', '07', '1.0')
('B2F171210', '北斗照我前行', 'Beidou Guide us Forward ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B4805752C4BB03E0506F0A2003115B', '17', '1.0')
('B2G260140', '动画赏析与设计基础', 'Fundamentals of Animation Analysis and Design ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99F0F15A3E8024F9E0506F0A20036050', '26', '1.0')
('B2G120431', '中西交流概要（I） ', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G120431', '12', '2.0')
('B2G140151', 'Movement Analysis, Practice and Applications', '动作分析、实践与应用', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=959136867C378938E0506F0A200303C9', '14', '2.0')
('B2G070120', '先进制造技术概论(英语授课)', 'Introduction to advanced manufacturing technology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G070120', '07', '2.0')
('B2G100220', '循环系统生理与心脑血管康复', '循环系统生理与心脑血管康复', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B7A89078AEE36CEBE050007F01007E66', '10', '2.0')
('B2G260120', '动画艺术概论', 'The Conception of Animation ', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=966ACBCCAFAB1D57E0506F0A200310D6', '26', '1.0')
('B2G030270', '嵌入式应用硬件接口电路实验', 'The Experiment of Embedded Hardware Interface Application', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B6F495AA80A5E21BE050007F01002816', '03', '1.0')
('B2F030280', '走进机器人世界', 'Robot World', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=985C2D0497979C03E0506F0A20034425', '03', '2.0')
('50G40300', '高级英语（1）', 'Advanced English（1）', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40300', '50', '1.5')
('50G01030', '图像处理', 'Image Processing', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98C2D67EA627DF44E0506F0A20030CDA', '15', '1.5')
('B2G020140', '单片机原理及应用', 'Principle and Application of Microcontroller', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97D8F8562546A1C5E0506F0A20030995', '02', '1.0')
('B2F050170', '飞行器安全性与可靠性', 'The Safety and Reliability of Aircraft', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F050170', '05', '1.0')
('B2F200110', '法律与科技', 'Law and Technology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B1AB97F311D7CB07E050007F010018D5', '20', '2.0')
('50G40210', '民法典入门', '民法典入门', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BAE39EE070339240E050007F01001E0C', '50', '1.5')
('B2G030330', '无人机自主控制与管理系统设计', 'Design of UAV Autonomous Control and Management System', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G030330', '03', '2.0')
('B2G170450', '医学超声成像', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9901E056C9DA5929E0506F0A20036BFB', '17', '1.0')
('B2F120250', '德国概况（汉语授课）', 'German study', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F120250', '12', '2.0')
('B2G050130', '工程流体力学', 'Engineering Fluid Mechanics', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=975B6D351F5F1A83E0506F0A20032390', '05', '1.0')
('50G40320', '激光雷达前沿导论', '激光雷达前沿导论', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BA0499AC0B6AA5CAE050007F01002252', '17', '1.0')
('B2G170521', '智能传感概论', 'Introduction of Smart Sensing', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=960AD0B885DFC5E4E0506F0A2003185D', '17', '2.0')
('B2G120441', '中西交流概要（II） ', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G120441', '12', '2.0')
('50G06260', '飞机系统概论', 'Introduction of Aircraft Systems', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G06260', '50', '1.5')
('B2G280330', '社会研究与当代中国', 'Social Survey in Modern China', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A69C6C44BA3A5CB2E050007F01001449', '28', '2.0')
('B2G100240', '3D生物打印和微生理系统', '3D bio-printing and microphysiological system', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=99958A40FD516B23E0506F0A20034625', '10', '2.0')
('B2E332030', '体育（3）', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2E332030', '33', '0.5')
('50G12540', '大学日语（初级）', 'College Japanese (Elementary)', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12540', '50', '1.5')
('B2F020350', '复杂网络前沿探讨', 'Advanced Topics in Complex Networks', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=969701A451DEA3FEE0506F0A200308AC', '02', '1.0')
('B2G170161', 'A Brief History of Machine Intelligence', '机器智能简史', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=965745E6649F909BE0506F0A20032366', '17', '2.0')
('50G01170', 'CAD与三维设计', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G01170', '07', '1.0')
('B2F080150', '经济与管理前沿导论', 'Introduction to the Leading Edge of Modern Economics and Management', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=95A5304538C8EA66E0506F0A200321D0', '08', '1.0')
('B2F090150', '线性代数应用案例选讲', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97234B30A75CB347E0506F0A20033F04', '09', '2.5')
('B2G080120', '管理学原理', 'The Principles of Management', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97ABA3D6E423FD11E0506F0A20030FB6', '08', '1.0')
('B2F241040', '工业系统中的科学技术与实践四：多旋翼无人机', 'Science and Technology in industrial System: Unmanned aerial vehicle ', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F241040', '24', '1.0')
('B2F280150', '中国传统文化概论', 'Introduction to Chinese Traditional Culture', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96CCBADBCC4B4703E0506F0A20035036', '28', '2.0')
('B2G020261', '科技论文写作', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96FF11324383111BE0506F0A20031C09', '02', '1.0')
('B2F260130', '西方美术与观念', 'Concepts in Western Art', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F260130', '26', '2.0')
('B2G030230', '电子自助实验', '电子自助实验', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=A6A00C4EBCACA437E050007F0100749F', '03', '2.0')
('B2F170530', '创新思维、方法与实践', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98B62CE8BF214F36E0506F0A20033A3C', '17', '2.0')
('B2F171230', '光电传感器', 'Opto-electronics Sensors', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98C8463DABDBE018E0506F0A20030D72', '17', '1.0')
('50G40270', '太空生存', 'Survival in space', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40270', '50', '1.5')
('B2G560420', '创新创业基础', 'Foundation of Innovation and Entrepreneurship', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G560420', '56', '1.0')
('B2G280110', '恋爱婚姻家庭', 'Love Marrige and Family', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B2E30DC8BE352E78E050007F01000601', '28', '1.0')
('B2F140240', '工程失效分析技术', 'Engineering Failure Analysis', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=BFEA9A5344578478E050007F010073F0', '14', '2.0')
('B2G020160', '大学生电子设计实训', 'Practice Training in Electronic Design', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9836622B3274CE89E0506F0A20030A58', '02', '1.0')
('50G06250', '计算机网络实验', 'Experiments of Computer Networks', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G06250', '50', '1.5')
('B2F080130', '创新创业方法论——基于案例与实践', 'The Methodology of Innovation and Entrepreneurship for Senior', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96FB63DA4D3CAA9DE0506F0A20034B03', '08', '2.0')
('50G12480', '美国研究', 'American Studies', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G12480', '50', '1.5')
('B2G030500', '空间智能自主系统', 'Space Intelligent Autonomous System', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=96B757E91B370DA4E0506F0A20036107', '03', '1.0')
('B2F170130', '视觉测量技术及应用', 'Visual Measurement Technology and Application', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98D6654E9349B457E0506F0A20034388', '17', '1.0')
('B2F290160', '诗歌与中国文化', 'Poetry and Chinese Culture', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290160', '29', '2.0')
('B2G090130', '数学实验', 'Mathematical Experiment', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G090130', '09', '1.5')
('B2G020131', 'Electromagnetic Compatibility', 'Electromagnetic Compatibility', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=9821EE07F32D9444E0506F0A20032EB7', '02', '2.0')
('50G40360', '工业机器人控制实践', 'Experiments of Industrial Robot Control', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=50G40360', '50', '1.5')
('B2G020271', '电子信息文献导读', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=984B4B4A783B979CE0506F0A20034F30', '02', '1.0')
('B2G060270', '计算简史——逻辑推动与技术演进', 'A Brief History of Computing—Promote the Evolution of Logic and Technology', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=961B967C40702B1CE0506F0A200306DB', '06', '1.0')
('B2G120270', '日本社会与文化 ', '', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2G120270', '12', '2.0')
('B2F290220', '中国历史纲要', 'The Outline of Chinese History', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F290220', '29', '2.0')
('B2G030150', '单片机原理及应用(Motorola)', 'The application and principle of Motorola MCU', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=98748007316F6838E0506F0A20036B3E', '03', '1.5')
('B2F100131', '进化、行为与生态', 'Principles of Evolution, Behavior, and Ecology', 'http://course.buaa.edu.cn/opencourse/course/list?type=code&keyword=B2F100131', '10', '1.0')
('B2F090160', '应用数学分析（1）', '', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97963208EBCCD24BE0506F0A2003322C', '09', '2.0')
('B2F110160', '中国现代文学三十年', 'Modern Chinese Literature for Thirty years', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=97E665C53E0B585EE0506F0A20032BC0', '11', '2.0')
('B2G150110', '导弹概论', '导弹概论', 'http://10.111.3.32/kcsbxt/kcsq/queryKcsqView?sqid=B7304E8F4756C22AE050007F01005C15', '15', '1.0')
